Employee ID,Date of Joining,Gender,Company Type,WFH Setup Available,Age,Tenure,Vacations taken,Designation,Average Hours worked per day,Employee satisfaction score,Mental Fatigue Score
fffe32003000360033003200,2008-09-30,Female,Service,No,52,18,8,2,3,3.8,0.16
fffe3700360033003500,2008-11-30,Male,Service,Yes,26,12,4,1,2,5,0.36
fffe31003300320037003900,2008-03-10,Female,Product,Yes,63,20,4,2,,5.8,0.49
fffe32003400380032003900,2008-11-03,Male,Service,Yes,59,20,12,1,1,2.6,0.2
fffe31003900340031003600,2008-07-24,Female,Service,No,63,10,9,3,7,6.9,0.52
fffe3300350037003500,2008-11-26,Male,Product,Yes,44,8,10,2,4,3.6,0.29
fffe33003300340039003100,2008-01-02,Female,Service,No,62,16,11,3,6,7.9,0.62
fffe32003600320037003400,2008-10-31,Female,Service,Yes,31,16,6,2,4,4.4,0.33
fffe32003200300034003700,2008-12-27,Female,Service,No,23,15,9,3,6,,0.56
fffe31003600320030003200,2008-03-09,Female,Product,No,27,1,2,3,6,,0.67
fffe33003100330032003700,2008-03-16,Male,Product,Yes,56,2,1,2,3,5.3,0.5
fffe3400310035003800,2008-05-12,Male,Service,Yes,27,20,12,0,1,1.8,0.12
fffe32003100300030003700,2008-01-20,Male,Service,Yes,47,13,10,2,5,,0.4
fffe31003800330032003500,2008-02-23,Female,Product,No,34,12,0,1,3,,0.33
fffe33003100330036003300,2008-05-14,Male,Product,Yes,30,19,3,1,3,5.8,0.51
fffe31003700350033003100,2008-02-03,Female,Service,Yes,35,20,10,3,5,4.7,0.32
fffe33003200360037003000,2008-03-17,Male,Service,Yes,59,4,11,1,2,5.9,0.39
fffe31003500350030003400,2008-03-28,Male,Service,No,35,11,7,3,6,6.7,0.59
fffe31003000380035003800,2008-05-29,Female,Product,Yes,60,20,12,2,4,4,0.22
fffe3300350037003200,2008-06-27,Female,Service,No,58,9,6,3,5,,0.68
fffe31003300360039003000,2008-08-31,Male,Product,No,63,6,0,2,4,7.6,0.57
fffe32003700370038003300,2008-01-15,Male,Service,Yes,27,3,5,1,3,6.3,0.47
fffe31003800390035003300,2008-05-04,Male,Service,Yes,25,17,0,1,3,6.7,0.46
fffe3700370035003600,2008-11-17,Female,Product,Yes,62,13,10,3,,7.7,0.61
fffe3700300033003500,2008-09-14,Female,Service,No,22,5,2,3,8,,0.91
fffe3700370038003000,2008-10-09,Female,Service,Yes,51,20,3,3,,5.8,0.4
fffe3200340036003400,2008-10-11,Male,Service,No,60,3,8,2,4,6.6,0.44
fffe3600330034003600,2008-09-18,Female,Service,No,23,10,12,2,4,7.4,0.6
fffe31003600310031003600,2008-09-16,Female,Service,No,31,16,1,2,5,6.7,0.46
fffe3400310034003500,2008-11-26,Female,Service,Yes,37,6,7,2,4,,0.45
fffe32003300340037003400,2008-05-12,Female,Product,Yes,51,18,0,1,2,3.6,0.2
fffe3500380031003000,2008-12-16,Female,Service,Yes,37,5,4,1,2,3.9,0.2
fffe32003400340039003400,2008-10-11,Female,Service,No,50,7,8,0,1,3,0.19
fffe31003500310034003800,2008-03-10,Male,Service,No,42,11,8,1,3,4.7,0.31
fffe32003700310030003800,2008-05-03,Male,Product,No,44,11,8,4,8,8.7,0.81
fffe32003800300036003300,2008-08-04,Male,Service,Yes,57,3,3,3,5,4.4,0.39
fffe390036003000,2008-07-31,Female,Service,Yes,51,9,3,3,6,5.8,0.42
fffe32003700390039003300,2008-06-17,Female,Product,Yes,31,10,3,0,2,3.9,0.19
fffe32003500390036003500,2008-04-28,Female,Service,Yes,31,9,6,3,7,6.6,0.56
fffe33003400390030003300,2008-10-30,Female,Service,No,45,20,9,4,7,7.3,0.53
fffe3200350030003300,2008-02-27,Female,Service,Yes,29,7,3,3,5,,0.5
fffe3800360036003400,2008-06-22,Female,Product,Yes,34,4,1,1,3,5.4,0.33
fffe33003200380030003900,2008-02-18,Male,Service,No,64,5,10,2,5,5,0.45
fffe31003800370038003900,2008-06-24,Female,Service,Yes,37,2,8,2,3,6,0.36
fffe31003700330031003000,2008-12-08,Female,Service,Yes,58,13,4,3,6,7.5,0.59
fffe31003500330034003700,2008-08-05,Male,Service,Yes,48,1,7,2,3,,0
fffe32003300380035003700,2008-04-11,Male,Service,No,42,11,1,4,10,10,0.94
fffe3500320032003000,2008-03-26,Female,Product,Yes,54,1,9,3,6,,0
fffe3900300031003500,2008-08-09,Female,Product,No,50,9,7,3,,7.7,0.61
fffe32003700300034003600,2008-08-28,Female,Product,Yes,55,16,4,1,3,6,0.37
fffe31003500390030003200,2008-03-21,Male,Service,No,48,7,6,2,6,7.4,0.65
fffe31003500360032003800,2008-07-22,Female,Service,Yes,35,5,0,2,5,6.4,0.49
fffe31003300360038003700,2008-05-20,Female,Service,No,23,2,9,1,2,5.1,0
fffe32003100320039003700,2008-01-23,Male,Service,Yes,41,6,11,1,3,5.6,0.38
fffe31003200340033003100,2008-10-09,Male,Product,No,55,14,7,2,5,7.4,0.62
fffe33003100340034003900,2008-09-10,Female,Product,Yes,63,10,12,3,5,6.1,0.39
fffe32003100340032003800,2008-05-26,Female,Product,Yes,27,5,7,2,4,3.1,0.15
fffe380030003100,2008-12-22,Male,Service,No,64,5,5,2,5,8,0.61
fffe3900310031003800,2008-04-08,Female,Product,No,52,18,11,1,2,4,0.26
fffe3200390030003200,2008-12-22,Female,Service,No,39,2,2,2,2,3.6,0.28
fffe3800370031003300,2008-02-25,Male,Product,Yes,37,11,5,2,5,8.7,0.71
fffe3300320030003200,2008-04-24,Male,Product,No,51,4,9,3,,8,0.68
fffe33003200310034003500,2008-01-08,Female,Service,No,26,18,9,3,5,6.8,0.57
fffe32003200310030003200,2008-11-20,Female,Service,Yes,41,16,7,2,3,4.9,0.39
fffe3300300031003100,2008-09-11,Female,Product,No,61,1,11,3,6,7.9,0.61
fffe33003300310030003900,2008-06-11,Male,Product,No,52,18,6,3,6,7.6,0.62
fffe31003200340034003500,2008-02-28,Female,Service,No,50,7,9,5,9,9.2,0.8
fffe32003400320036003200,2008-05-03,Male,Service,Yes,33,16,6,4,6,6.5,0.63
fffe3600330031003200,2008-08-20,Female,Service,No,39,13,4,3,5,6.8,0.6
fffe31003300330034003700,2008-10-18,Female,Product,No,33,10,2,4,8,8.7,0.79
fffe3600330032003400,2008-08-14,Male,Service,Yes,34,5,4,2,5,6.2,0.39
fffe3500300037003900,2008-01-08,Female,Service,No,49,7,6,3,5,5.8,0.36
fffe33003400360037003500,2008-07-17,Female,Product,No,50,6,4,2,4,6.6,0.5
fffe32003500310039003700,2008-09-11,Male,Product,No,52,10,3,4,7,8.2,0.72
fffe32003600370032003500,2008-07-05,Female,Service,Yes,55,17,10,2,3,4.9,0.34
fffe3200350037003200,2008-02-04,Female,Service,No,33,8,4,1,2,4.1,0.27
fffe3800390036003200,2008-08-01,Male,Service,No,51,6,11,3,7,7.4,0.66
fffe3400390032003600,2008-05-01,Female,Product,Yes,33,16,10,0,1,,0.04
fffe33003300360032003700,2008-05-21,Male,Service,Yes,21,19,12,1,2,4.4,0.27
fffe32003600360039003700,2008-11-26,Female,Service,No,47,1,0,2,6,6.9,0.67
fffe3200360031003700,2008-10-21,Female,Product,Yes,57,7,9,1,2,5.3,0.38
fffe33003300350036003100,2008-03-19,Female,Service,Yes,45,2,7,2,2,4.3,0.28
fffe31003600360039003900,2008-09-27,Male,Product,Yes,62,15,8,0,1,0.8,0.05
fffe31003500340038003100,2008-03-28,Female,Service,Yes,49,10,3,2,4,2.9,0.22
fffe32003400320034003800,2008-03-12,Female,Service,Yes,59,19,11,1,3,5,0.39
fffe31003300310036003300,2008-05-20,Male,Service,Yes,26,3,8,1,4,6.9,0.52
fffe33003100300031003200,2008-09-17,Female,Service,No,26,14,9,3,5,4.7,0.39
fffe31003300310037003900,2008-02-13,Female,Service,No,62,12,5,1,3,2,0.11
fffe3300300036003900,2008-09-19,Female,Service,No,64,18,1,2,4,5.4,0.44
fffe3300360039003000,2008-07-03,Male,Product,No,39,17,6,2,5,6.1,0.5
fffe3500340030003800,2008-10-27,Female,Product,Yes,46,17,5,1,4,5.1,0.41
fffe3800390038003000,2008-08-09,Female,Service,Yes,59,5,5,1,2,3.8,0
fffe31003500310038003800,2008-01-22,Male,Product,No,35,13,1,4,9,,0.76
fffe340035003800,2008-04-15,Female,Service,Yes,32,16,0,3,5,4.7,0.43
fffe31003700300036003800,2008-10-26,Male,Service,Yes,40,11,7,3,5,5.4,0.46
fffe32003900320033003900,2008-01-31,Female,Service,No,30,3,2,4,7,9.1,0.85
fffe380031003300,2008-01-03,Male,Service,Yes,34,16,0,1,3,5,0.35
fffe33003200330030003500,2008-03-13,Male,Product,No,61,4,3,1,1,0,0
fffe33003300390037003700,2008-03-27,Male,Product,Yes,46,17,3,2,4,4.3,0.34
fffe31003500380034003100,2008-08-20,Female,Service,Yes,28,8,12,2,,6.7,0.44
fffe32003500370036003100,2008-10-11,Female,Product,No,33,19,4,2,5,5.7,0.55
fffe33003200300033003500,2008-11-15,Male,Service,Yes,21,3,2,4,6,6.8,0.62
fffe32003500370037003600,2008-08-17,Male,Service,No,28,7,10,3,6,7.6,0.72
fffe32003400380030003100,2008-11-30,Male,Product,Yes,35,17,12,3,8,8.3,0.71
fffe32003800330033003400,2008-08-08,Female,Product,No,65,10,5,1,3,5.5,0.39
fffe32003500360037003200,2008-06-28,Female,Service,No,36,19,12,1,3,5.3,0.48
fffe31003700350033003000,2008-05-06,Female,Service,No,29,3,4,3,7,8,0.7
fffe3900300032003700,2008-12-17,Male,Service,Yes,58,7,12,4,6,6.4,0.56
fffe3400320031003800,2008-09-08,Female,Service,Yes,24,15,6,1,3,3.6,0.27
fffe3300360035003600,2008-07-04,Female,Product,Yes,56,6,3,2,5,7,0.66
fffe31003900360033003300,2008-10-28,Female,Product,No,58,12,10,3,7,7.6,0.56
fffe32003800300036003600,2008-05-06,Male,Service,No,30,11,11,2,5,8.7,0.79
fffe31003900310039003200,2008-02-19,Female,Product,Yes,25,17,12,0,1,2.6,0.18
fffe3400390037003700,2008-04-08,Female,Service,Yes,51,19,11,2,4,4.7,0.33
fffe31003600300039003700,2008-02-11,Male,Service,Yes,24,13,6,2,4,6.4,0.4
fffe33003100380034003500,2008-03-02,Female,Service,No,21,18,5,2,5,5.8,0.39
fffe3800380039003400,2008-08-10,Female,Service,No,40,20,6,1,1,3.3,0.23
fffe31003500390038003000,2008-01-04,Female,Product,Yes,22,20,0,2,4,5.9,0.45
fffe3600310036003700,2008-10-12,Female,Product,No,59,14,0,2,,7.8,0.67
fffe3800390030003800,2008-11-14,Male,Product,Yes,24,20,0,1,3,7,0.52
fffe3300390033003100,2008-09-02,Female,Service,No,33,18,1,4,7,7.2,0.6
fffe3900330037003500,2008-10-04,Male,Service,Yes,34,19,2,3,7,7.9,0.59
fffe31003400350030003200,2008-05-31,Female,Product,No,49,11,12,3,5,,0
fffe3300360038003700,2008-09-16,Female,Service,Yes,35,17,1,1,3,5.9,0.36
fffe32003400390034003500,2008-03-03,Male,Service,No,62,5,3,1,3,4.4,0.29
fffe33003100300035003600,2008-02-21,Male,Service,Yes,63,3,2,2,5,5.2,0.34
fffe31003900380032003800,2008-03-26,Female,Product,Yes,35,11,10,2,4,5.3,0.34
fffe3900340036003300,2008-02-03,Male,Service,No,51,12,8,3,5,,0
fffe31003900300036003900,2008-12-04,Female,Service,No,49,9,8,4,6,,0.67
fffe31003600300030003000,2008-09-05,Female,Product,Yes,62,16,6,4,,8.9,0.76
fffe390031003100,2008-09-17,Female,Product,Yes,29,20,12,3,4,5.2,0.46
fffe31003300380039003700,2008-02-24,Male,Service,Yes,55,12,6,2,5,4.5,0.36
fffe32003700390032003000,2008-12-09,Female,Product,No,41,17,4,2,3,6.6,0.45
fffe32003000300035003100,2008-01-19,Female,Product,Yes,29,13,10,3,5,3.8,0.27
fffe33003400340033003100,2008-01-26,Male,Product,No,55,8,10,3,7,7.6,0.65
fffe32003200360039003000,2008-05-10,Female,Service,Yes,43,10,2,1,4,,0
fffe3900380037003500,2008-05-16,Female,Product,Yes,42,16,12,3,6,5.6,0.34
fffe31003300380033003700,2008-08-10,Female,Service,Yes,22,13,8,1,3,5.4,0.37
fffe33003000340037003600,2008-06-28,Male,Product,Yes,55,19,7,1,2,4.9,0.25
fffe32003600370033003700,2008-05-07,Male,Service,No,55,18,6,2,5,7.3,0.57
fffe3600320032003900,2008-05-03,Male,Service,No,39,2,8,2,5,5.6,0.52
fffe31003100360037003000,2008-09-16,Female,Product,Yes,53,3,8,3,4,5.7,0
fffe3400330035003800,2008-10-16,Female,Product,No,29,10,3,4,8,7.8,0.75
fffe3600380039003200,2008-07-09,Female,Product,Yes,60,20,8,4,7,6.7,0.55
fffe31003700330032003400,2008-03-11,Female,Service,No,44,20,3,1,4,6.5,0.43
fffe32003900320030003300,2008-08-15,Female,Service,Yes,21,4,6,0,1,1.8,0.1
fffe32003600370036003700,2008-08-25,Female,Product,No,65,8,9,3,6,8.1,0.68
fffe3500320039003100,2008-12-14,Male,Product,No,48,18,0,2,5,6.9,0
